source,station_code,station_name,lat,lon,height_m,start_time,duration_s,sampling_rate_hz,intensity,acc_NS,acc_EW,acc_UD,acc_H,acc_total,vel_NS,vel_EW,vel_UD,vel_H,vel_total,disp_NS,disp_EW,disp_UD,disp_H,disp_total
JMA,41318,東京杉並区阿佐谷,35.7,139.6366,,2025-12-08T23:17:40.000,240.0,100,2,-3.075,-2.718,1.476,3.465,3.523,-1.24,-0.944,0.513,1.442,1.443,7.264,2.667,-8.919,7.725,11.799
JMA,41319,国分寺市並木町,35.7152,139.4502,,2025-12-08T23:17:40.000,180.0,100,2,-2.661,-3.168,1.367,3.364,3.411,0.734,-0.883,-0.446,0.968,0.997,-5.654,17.645,2.67,18.524,18.715
JMA,41320,八王子市大横町,35.6645,139.3272,,2025-12-08T23:17:40.000,240.0,100,1,1.983,1.591,-0.947,2.401,2.413,0.416,0.296,-0.195,0.47,0.475,-2.364,-1.646,0.514,2.88,2.921
JMA,41321,青梅市東青梅,35.788,139.2751,,2025-12-08T23:17:50.000,60.0,100,1,1.085,-0.951,-0.528,1.308,1.31,0.27,-0.309,-0.152,0.405,0.422,3.657,-4.451,-1.767,5.755,6.019
JMA,41322,川崎中原区小杉陣屋町,35.5869,139.6551,,2025-12-08T23:17:30.000,360.0,100,2,3.072,-4.131,1.406,4.545,4.59,-0.723,-0.791,-0.353,0.907,0.91,16.166,-22.156,7.184,27.426,28.351
JMA,41324,秦野市曽屋,35.3799,139.2109,,2025-12-08T23:17:40.000,120.0,100,1,1.666,-2.117,-1.025,2.203,2.208,-0.359,-0.327,0.232,0.373,0.378,-4.674,1.984,-0.287,5.076,5.082
JMA,41325,茅ヶ崎市茅ヶ崎,35.3344,139.4032,,2025-12-08T23:17:40.000,180.0,100,2,2.89,3.899,-1.147,3.913,3.929,-0.62,0.715,0.243,0.721,0.721,-0.453,-6.444,-4.098,6.458,7.646
JMA,41326,村上市塩町,38.2286,139.4746,,2025-12-08T23:16:20.000,300.0,100,1,1.519,1.949,0.948,1.991,1.991,-0.421,0.507,0.344,0.548,0.551,-0.803,1.167,24.642,1.409,24.682
JMA,41327,新潟秋葉区程島,37.7877,139.1121,,2025-12-08T23:17:10.000,240.0,100,2,3.559,3.616,1.215,3.814,3.892,-0.883,-0.962,0.437,1.008,1.008,-12.24,22.247,-11.054,25.375,27.675
JMA,41328,長岡市幸町,37.4357,138.8407,,2025-12-08T23:17:20.000,120.0,100,1,1.158,-1.003,1.081,1.224,1.393,-0.693,-0.441,0.377,0.693,0.695,0.909,5.948,-0.605,5.997,6.006
JMA,41329,糸魚川市一の宮,37.0388,137.8633,,2025-12-08T23:18:20.000,60.0,100,1,0.684,-0.792,-0.365,0.834,0.835,-0.369,0.244,-0.188,0.373,0.387,-1.151,2.1,-1.2,2.243,2.47
JMA,41330,小千谷市城内,37.3125,138.7927,,2025-12-08T23:17:20.000,180.0,100,1,1.612,-1.262,0.849,1.617,1.629,0.59,0.472,-0.35,0.623,0.624,-2.816,-8.865,7.747,9.215,12.034
JMA,41338,甲州市塩山下於曽,35.7003,138.7213,,2025-12-08T23:17:50.000,240.0,100,1,1.63,2.343,-0.972,2.374,2.38,0.288,-0.411,0.181,0.412,0.417,-11.668,-0.989,-1.34,11.709,11.785
JMA,41340,上田市築地,36.3992,138.2081,,2025-12-08T23:18:00.000,120.0,100,1,1.286,-0.847,0.455,1.408,1.408,-0.304,-0.286,0.123,0.379,0.387,6.473,5.854,-0.171,8.727,8.727
JMA,41343,御殿場市萩原,35.3102,138.9304,,2025-12-08T23:17:50.000,180.0,100,2,3.733,-3.28,1.94,3.796,3.847,0.813,-0.812,0.362,0.902,0.905,-1.413,-7.415,0.845,7.545,7.59
JMA,41346,富士宮市弓沢町,35.2232,138.621,,2025-12-08T23:18:00.000,120.0,100,1,1.791,1.783,0.956,1.902,1.912,0.48,0.494,-0.203,0.649,0.65,5.456,-3.256,-2.278,6.35,6.745
